asset	date	transactionType	price	currency	exchangeRate	shares
a	2019/2/10	allocation	320	dollar	1120.3	3
b	2019/2/10	allocation	240	dollar	1120.3	5
c	2019/2/10	allocation	160	dollar	1120.3	3
d	2019/2/10	allocation	50	dollar	1120.3	6
e	2019/2/11	allocation	130	dollar	1122	3
f	2019/2/11	allocation	50	dollar	1122	2
g	2019/2/11	allocation	170	dollar	1122	4
h	2019/2/11	allocation	70	dollar	1122	5
i	2019/2/15	allocation	500	dollar	1223	1
j	2019/2/15	allocation	70	dollar	1223	9
a	2019/5/19	allocation	700	dollar	1430.6	1
b	2019/5/19	allocation	100	dollar	1430.6	8
c	2019/5/20	withdrawal	1000	dollar	1441	3
a	2019/6/13	allocation	330	dollar	1322.1	3
b	2019/6/14	withdrawal	240	dollar	1311.5	3
b	2019/6/15	withdrawal	400	dollar	1287	5
a	2019/8/7	withdrawal	600	dollar	1370	7
b	2019/8/7	withdrawal	20	dollar	1370	5
b	2019/8/8	allocation	310	dollar	1377	3 
